outer_subject,meta_subject,recording_id,method,seed,true_label,p0,p1
1,2,stroop:s02:r0,always_fuse,1335,0,0.77978464485237,0.2202153551476299
1,2,stroop:s02:r0,always_nn,1335,0,0.9982132467616164,0.0017867532383836
1,2,stroop:s02:r1,always_fuse,1335,0,0.7448757358420072,0.2551242641579929
1,2,stroop:s02:r1,always_nn,1335,0,0.9965575720660566,0.0034424279339434
1,2,stroop:s02:r2,always_fuse,1335,1,0.6737055240569348,0.3262944759430652
1,2,stroop:s02:r2,always_nn,1335,1,0.9832684181259548,0.0167315818740453
1,2,stroop:s02:r3,always_fuse,1335,1,0.6457578519094178,0.3542421480905821
1,2,stroop:s02:r3,always_nn,1335,1,0.9646279551412896,0.0353720448587104
1,2,stroop:s02:r0,always_fuse,1388,0,0.6979106355778911,0.3020893644221089
1,2,stroop:s02:r0,always_nn,1388,0,0.9777901457938388,0.022209854206161
1,2,stroop:s02:r1,always_fuse,1388,0,0.6943603001660323,0.3056396998339677
1,2,stroop:s02:r1,always_nn,1388,0,0.9862097410958508,0.013790258904149
1,2,stroop:s02:r2,always_fuse,1388,1,0.6496307712433889,0.3503692287566111
1,2,stroop:s02:r2,always_nn,1388,1,0.9687066440480452,0.0312933559519546
1,2,stroop:s02:r3,always_fuse,1388,1,0.6326737515122006,0.3673262484877994
1,2,stroop:s02:r3,always_nn,1388,1,0.9547117599825368,0.0452882400174631
1,2,stroop:s02:r0,always_fuse,1441,0,0.7186659787753881,0.2813340212246119
1,2,stroop:s02:r0,always_nn,1441,0,0.9926637478608216,0.0073362521391785
1,2,stroop:s02:r1,always_fuse,1441,0,0.7168591655507194,0.2831408344492807
1,2,stroop:s02:r1,always_nn,1441,0,0.995853799100924,0.0041462008990759
1,2,stroop:s02:r2,always_fuse,1441,1,0.6637669794420007,0.3362330205579993
1,2,stroop:s02:r2,always_nn,1441,1,0.9892214186407562,0.0107785813592437
1,2,stroop:s02:r3,always_fuse,1441,1,0.6298567753061812,0.3701432246938187
1,2,stroop:s02:r3,always_nn,1441,1,0.966637290572447,0.033362709427553
1,2,stroop:s02:r0,always_fuse,1494,0,0.721858370666635,0.278141629333365
1,2,stroop:s02:r0,always_nn,1494,0,0.995923180374428,0.004076819625572
1,2,stroop:s02:r1,always_fuse,1494,0,0.70929313432586,0.2907068656741399
1,2,stroop:s02:r1,always_nn,1494,0,0.9953137607459028,0.0046862392540972
1,2,stroop:s02:r2,always_fuse,1494,1,0.6667090764123295,0.3332909235876705
1,2,stroop:s02:r2,always_nn,1494,1,0.9904149662735016,0.0095850337264984
1,2,stroop:s02:r3,always_fuse,1494,1,0.6405591063133983,0.3594408936866016
1,2,stroop:s02:r3,always_nn,1494,1,0.9763230699493056,0.0236769300506945
1,2,stroop:s02:r0,always_fuse,1547,0,0.6718113713171001,0.3281886286828999
1,2,stroop:s02:r0,always_nn,1547,0,0.9594359958621088,0.0405640041378912
1,2,stroop:s02:r1,always_fuse,1547,0,0.6464353074487154,0.3535646925512846
1,2,stroop:s02:r1,always_nn,1547,0,0.96532353147882,0.03467646852118
1,2,stroop:s02:r2,always_fuse,1547,1,0.5937753093726746,0.4062246906273253
1,2,stroop:s02:r2,always_nn,1547,1,0.8932085510510932,0.1067914489489068
1,2,stroop:s02:r3,always_fuse,1547,1,0.5871365359087514,0.4128634640912486
1,2,stroop:s02:r3,always_nn,1547,1,0.8874395735304751,0.1125604264695249
1,3,stroop:s03:r0,always_fuse,1335,0,0.8474151037874698,0.1525848962125302
1,3,stroop:s03:r0,always_nn,1335,0,0.9999999970715344,2.9284653699473514e-09
1,3,stroop:s03:r1,always_fuse,1335,0,0.6745369975888925,0.3254630024111074
1,3,stroop:s03:r1,always_nn,1335,0,0.999153046280959,0.0008469537190408
1,3,stroop:s03:r2,always_fuse,1335,1,0.2796579873074637,0.7203420126925363
1,3,stroop:s03:r2,always_nn,1335,1,6.438291975720786e-05,0.9999356170802428
1,3,stroop:s03:r3,always_fuse,1335,1,0.2103495473186682,0.7896504526813317
1,3,stroop:s03:r3,always_nn,1335,1,6.229713013773012e-06,0.9999937702869862
1,3,stroop:s03:r0,always_fuse,1388,0,0.8333038448991203,0.1666961551008797
1,3,stroop:s03:r0,always_nn,1388,0,0.9999999553749028,4.4625097250672914e-08
1,3,stroop:s03:r1,always_fuse,1388,0,0.6068891027049881,0.3931108972950119
1,3,stroop:s03:r1,always_nn,1388,0,0.995175771597907,0.004824228402093
1,3,stroop:s03:r2,always_fuse,1388,1,0.2964588942063,0.7035411057936999
1,3,stroop:s03:r2,always_nn,1388,1,0.0036830790206317,0.9963169209793682
1,3,stroop:s03:r3,always_fuse,1388,1,0.2053193005485644,0.7946806994514355
1,3,stroop:s03:r3,always_nn,1388,1,1.4382550385397384e-05,0.9999856174496148
1,3,stroop:s03:r0,always_fuse,1441,0,0.8191055109678607,0.1808944890321393
1,3,stroop:s03:r0,always_nn,1441,0,0.9999999966838652,3.3161346704395887e-09
1,3,stroop:s03:r1,always_fuse,1441,0,0.5638100183218356,0.4361899816781644
1,3,stroop:s03:r1,always_nn,1441,0,0.9925966995196184,0.0074033004803815
1,3,stroop:s03:r2,always_fuse,1441,1,0.3049116050392187,0.6950883949607812
1,3,stroop:s03:r2,always_nn,1441,1,0.0031354688221525,0.9968645311778476
1,3,stroop:s03:r3,always_fuse,1441,1,0.2649302247081722,0.7350697752918277
1,3,stroop:s03:r3,always_nn,1441,1,0.0009237010940719,0.999076298905928
1,3,stroop:s03:r0,always_fuse,1494,0,0.7508118324593746,0.2491881675406254
1,3,stroop:s03:r0,always_nn,1494,0,0.9999958446534432,4.155346556746849e-06
1,3,stroop:s03:r1,always_fuse,1494,0,0.5078109461056364,0.4921890538943636
1,3,stroop:s03:r1,always_nn,1494,0,0.890889498734943,0.1091105012650569
1,3,stroop:s03:r2,always_fuse,1494,1,0.349802001586272,0.6501979984137278
1,3,stroop:s03:r2,always_nn,1494,1,0.0220145462790093,0.9779854537209908
1,3,stroop:s03:r3,always_fuse,1494,1,0.2731078645120829,0.726892135487917
1,3,stroop:s03:r3,always_nn,1494,1,0.0017515825858565,0.9982484174141436
1,3,stroop:s03:r0,always_fuse,1547,0,0.7493799359398783,0.2506200640601217
1,3,stroop:s03:r0,always_nn,1547,0,0.9999185007819236,8.14992180763485e-05
1,3,stroop:s03:r1,always_fuse,1547,0,0.5361504962830869,0.4638495037169131
1,3,stroop:s03:r1,always_nn,1547,0,0.9033077280469088,0.0966922719530911
1,3,stroop:s03:r2,always_fuse,1547,1,0.413581419860668,0.586418580139332
1,3,stroop:s03:r2,always_nn,1547,1,0.141680506627695,0.8583194933723051
1,3,stroop:s03:r3,always_fuse,1547,1,0.2926672960901345,0.7073327039098655
1,3,stroop:s03:r3,always_nn,1547,1,0.0044814270008193,0.9955185729991808
1,4,stroop:s04:r0,always_fuse,1335,0,0.6579385799088052,0.3420614200911946
1,4,stroop:s04:r0,always_nn,1335,0,0.9930166820652006,0.0069833179347993
1,4,stroop:s04:r1,always_fuse,1335,0,0.4552617426040047,0.5447382573959954
1,4,stroop:s04:r1,always_nn,1335,0,0.4695693355787165,0.5304306644212836
1,4,stroop:s04:r2,always_fuse,1335,1,0.4344105065816333,0.5655894934183667
1,4,stroop:s04:r2,always_nn,1335,1,0.2081334011180211,0.7918665988819789
1,4,stroop:s04:r3,always_fuse,1335,1,0.3953677343957068,0.6046322656042932
