dataset,protocol,subject,direction,recording_id,window_id,method,seed,true_label,p0,p1
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_mdm,1335,0,2.673440439273477e-13,0.9999999999997328
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_mdm,1388,0,2.673440439273477e-13,0.9999999999997328
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_mdm,1441,0,2.673440439273477e-13,0.9999999999997328
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_mdm,1494,0,2.673440439273477e-13,0.9999999999997328
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_mdm,1547,0,2.673440439273477e-13,0.9999999999997328
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_ts_logreg,1335,0,0.1662422606343839,0.833757739365616
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_ts_logreg,1388,0,0.1662422606343839,0.833757739365616
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_ts_logreg,1441,0,0.1662422606343839,0.833757739365616
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_ts_logreg,1494,0,0.1662422606343839,0.833757739365616
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00000,riemann_ts_logreg,1547,0,0.1662422606343839,0.833757739365616
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_mdm,1335,0,5.563546543032935e-13,0.9999999999994436
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_mdm,1388,0,5.563546543032935e-13,0.9999999999994436
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_mdm,1441,0,5.563546543032935e-13,0.9999999999994436
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_mdm,1494,0,5.563546543032935e-13,0.9999999999994436
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_mdm,1547,0,5.563546543032935e-13,0.9999999999994436
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_ts_logreg,1335,0,0.1344217419458734,0.8655782580541266
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_ts_logreg,1388,0,0.1344217419458734,0.8655782580541266
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_ts_logreg,1441,0,0.1344217419458734,0.8655782580541266
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_ts_logreg,1494,0,0.1344217419458734,0.8655782580541266
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00001,riemann_ts_logreg,1547,0,0.1344217419458734,0.8655782580541266
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_mdm,1335,0,9.564395359088446e-13,0.9999999999990437
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_mdm,1388,0,9.564395359088446e-13,0.9999999999990437
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_mdm,1441,0,9.564395359088446e-13,0.9999999999990437
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_mdm,1494,0,9.564395359088446e-13,0.9999999999990437
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_mdm,1547,0,9.564395359088446e-13,0.9999999999990437
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_ts_logreg,1335,0,0.1531651269724263,0.8468348730275737
openbci,loso,1,stroop,stroop:s01:r0,stroop:s01:r0:w00002,riemann_ts_logreg,1388,0,0.1531651269724263,0.8468348730275737
