dataset,protocol,subject,direction,recording_id,method,true_label,p0,p1,pred_label,correct,n_windows,ensemble_size
openbci,loso,1,stroop,stroop:s01:r0,always_fuse,0,0.5417288569928195,0.4582711430071806,0,1,157,5
openbci,loso,1,stroop,stroop:s01:r0,always_nn,0,0.9041301884941203,0.09586981150587977,0,1,157,5
openbci,loso,1,stroop,stroop:s01:r0,extra_trees,0,0.5724704411110181,0.42752955888898203,0,1,157,5
openbci,loso,1,stroop,stroop:s01:r0,rf,0,0.6227572979170862,0.37724270208291383,0,1,157,5
openbci,loso,1,stroop,stroop:s01:r1,always_fuse,0,0.6101119040026699,0.38988809599733,0,1,148,5
openbci,loso,1,stroop,stroop:s01:r1,always_nn,0,0.9803602061295335,0.019639793870466604,0,1,148,5
openbci,loso,1,stroop,stroop:s01:r1,extra_trees,0,0.5863512625670885,0.41364873743291164,0,1,148,5
openbci,loso,1,stroop,stroop:s01:r1,rf,0,0.5924604167233282,0.4075395832766719,0,1,148,5
openbci,loso,1,stroop,stroop:s01:r2,always_fuse,1,0.6179941605332834,0.3820058394667167,0,0,139,5
openbci,loso,1,stroop,stroop:s01:r2,always_nn,1,0.9867995300982747,0.013200469901725203,0,0,139,5
openbci,loso,1,stroop,stroop:s01:r2,extra_trees,1,0.5851260662102363,0.41487393378976367,0,0,139,5
openbci,loso,1,stroop,stroop:s01:r2,rf,1,0.6068574565522388,0.3931425434477613,0,0,139,5
openbci,loso,1,stroop,stroop:s01:r3,always_fuse,1,0.6103616262677051,0.38963837373229493,0,0,209,5
openbci,loso,1,stroop,stroop:s01:r3,always_nn,1,0.9756038736303839,0.02439612636961612,0,0,209,5
openbci,loso,1,stroop,stroop:s01:r3,extra_trees,1,0.6226173085556269,0.37738269144437314,0,0,209,5
openbci,loso,1,stroop,stroop:s01:r3,rf,1,0.6404415133696527,0.3595584866303474,0,0,209,5
openbci,loso,2,stroop,stroop:s02:r0,always_fuse,0,0.7656296230343133,0.23437037696568686,0,1,450,5
openbci,loso,2,stroop,stroop:s02:r0,always_nn,0,0.9999528505251422,4.714947485792785e-05,0,1,450,5
openbci,loso,2,stroop,stroop:s02:r0,extra_trees,0,0.8487226950671707,0.1512773049328293,0,1,450,5
openbci,loso,2,stroop,stroop:s02:r0,rf,0,0.8139022575575718,0.18609774244242822,0,1,450,5
