recording_id,method,true_label,p0,p1,subject,direction,seed
arithmetic:s01:r0,always_nn,0,0.967005101108806,0.0329948988911938,1,arithmetic_to_stroop,1335
arithmetic:s01:r1,always_nn,0,0.04380658365712,0.95619341634288,1,arithmetic_to_stroop,1335
arithmetic:s01:r2,always_nn,1,0.4136713401707146,0.5863286598292855,1,arithmetic_to_stroop,1335
arithmetic:s01:r3,always_nn,1,0.0059830685791601,0.99401693142084,1,arithmetic_to_stroop,1335
arithmetic:s01:r0,rf,0,0.9096350382308728,0.090364961769127,1,arithmetic_to_stroop,1335
arithmetic:s01:r1,rf,0,0.0891272479526364,0.9108727520473636,1,arithmetic_to_stroop,1335
arithmetic:s01:r2,rf,1,0.6148133153202022,0.3851866846797977,1,arithmetic_to_stroop,1335
arithmetic:s01:r3,rf,1,0.0051452923164625,0.9948547076835376,1,arithmetic_to_stroop,1335
arithmetic:s01:r0,extra_trees,0,0.907422033573096,0.092577966426904,1,arithmetic_to_stroop,1335
arithmetic:s01:r1,extra_trees,0,0.1255638930468256,0.8744361069531743,1,arithmetic_to_stroop,1335
arithmetic:s01:r2,extra_trees,1,0.5873489858613211,0.4126510141386789,1,arithmetic_to_stroop,1335
arithmetic:s01:r3,extra_trees,1,0.0112215504394188,0.9887784495605813,1,arithmetic_to_stroop,1335
arithmetic:s01:r0,always_nn,0,0.999986992106918,1.300789308187967e-05,1,arithmetic_to_stroop,1388
arithmetic:s01:r1,always_nn,0,0.1210478582812278,0.8789521417187721,1,arithmetic_to_stroop,1388
arithmetic:s01:r2,always_nn,1,0.013141990771333,0.9868580092286672,1,arithmetic_to_stroop,1388
arithmetic:s01:r3,always_nn,1,1.2785921078988957e-06,0.999998721407892,1,arithmetic_to_stroop,1388
arithmetic:s01:r0,rf,0,0.5297873065590626,0.4702126934409374,1,arithmetic_to_stroop,1388
arithmetic:s01:r1,rf,0,0.2679628375741271,0.7320371624258729,1,arithmetic_to_stroop,1388
arithmetic:s01:r2,rf,1,0.0859803019491766,0.9140196980508234,1,arithmetic_to_stroop,1388
arithmetic:s01:r3,rf,1,0.2748024258198422,0.7251975741801576,1,arithmetic_to_stroop,1388
arithmetic:s01:r0,extra_trees,0,0.5778923297542958,0.4221076702457042,1,arithmetic_to_stroop,1388
arithmetic:s01:r1,extra_trees,0,0.3055365737128517,0.6944634262871483,1,arithmetic_to_stroop,1388
arithmetic:s01:r2,extra_trees,1,0.0894353228756209,0.910564677124379,1,arithmetic_to_stroop,1388
arithmetic:s01:r3,extra_trees,1,0.3291000667031301,0.6708999332968699,1,arithmetic_to_stroop,1388
arithmetic:s01:r0,always_nn,0,0.9999996125445004,3.874554997131052e-07,1,arithmetic_to_stroop,1441
arithmetic:s01:r1,always_nn,0,0.2614991425861945,0.7385008574138054,1,arithmetic_to_stroop,1441
arithmetic:s01:r2,always_nn,1,0.0363780207547683,0.9636219792452316,1,arithmetic_to_stroop,1441
arithmetic:s01:r3,always_nn,1,4.204479638200183e-06,0.9999957955203618,1,arithmetic_to_stroop,1441
arithmetic:s01:r0,rf,0,0.5205776636763959,0.4794223363236042,1,arithmetic_to_stroop,1441
arithmetic:s01:r1,rf,0,0.2790811641518443,0.7209188358481556,1,arithmetic_to_stroop,1441
arithmetic:s01:r2,rf,1,0.0647607293723577,0.9352392706276422,1,arithmetic_to_stroop,1441
arithmetic:s01:r3,rf,1,0.2709508955329919,0.7290491044670081,1,arithmetic_to_stroop,1441
arithmetic:s01:r0,extra_trees,0,0.5845672177969592,0.4154327822030408,1,arithmetic_to_stroop,1441
arithmetic:s01:r1,extra_trees,0,0.2364978487943957,0.7635021512056043,1,arithmetic_to_stroop,1441
arithmetic:s01:r2,extra_trees,1,0.0949088085225233,0.9050911914774766,1,arithmetic_to_stroop,1441
arithmetic:s01:r3,extra_trees,1,0.324293944442438,0.675706055557562,1,arithmetic_to_stroop,1441
arithmetic:s01:r0,always_nn,0,0.9999998687068328,1.3129316698098518e-07,1,arithmetic_to_stroop,1494
arithmetic:s01:r1,always_nn,0,0.1599582436028579,0.8400417563971421,1,arithmetic_to_stroop,1494
arithmetic:s01:r2,always_nn,1,0.0179557646831327,0.9820442353168674,1,arithmetic_to_stroop,1494
arithmetic:s01:r3,always_nn,1,4.425707843639786e-09,0.9999999955742922,1,arithmetic_to_stroop,1494
arithmetic:s01:r0,rf,0,0.5154982105022716,0.4845017894977283,1,arithmetic_to_stroop,1494
arithmetic:s01:r1,rf,0,0.2285175310400755,0.7714824689599245,1,arithmetic_to_stroop,1494
arithmetic:s01:r2,rf,1,0.0671471431161614,0.9328528568838386,1,arithmetic_to_stroop,1494
arithmetic:s01:r3,rf,1,0.2662662798076797,0.7337337201923203,1,arithmetic_to_stroop,1494
arithmetic:s01:r0,extra_trees,0,0.5678740978317915,0.4321259021682083,1,arithmetic_to_stroop,1494
arithmetic:s01:r1,extra_trees,0,0.1915288098693822,0.8084711901306177,1,arithmetic_to_stroop,1494
arithmetic:s01:r2,extra_trees,1,0.1048546614128763,0.8951453385871236,1,arithmetic_to_stroop,1494
arithmetic:s01:r3,extra_trees,1,0.3327893770751332,0.6672106229248669,1,arithmetic_to_stroop,1494
arithmetic:s01:r0,always_nn,0,0.9999927952582316,7.204741768423543e-06,1,arithmetic_to_stroop,1547
arithmetic:s01:r1,always_nn,0,0.046071056060059,0.953928943939941,1,arithmetic_to_stroop,1547
arithmetic:s01:r2,always_nn,1,0.2629976049112761,0.7370023950887239,1,arithmetic_to_stroop,1547
arithmetic:s01:r3,always_nn,1,0.0020109459240346,0.9979890540759652,1,arithmetic_to_stroop,1547
arithmetic:s01:r0,rf,0,0.9194838921850352,0.0805161078149647,1,arithmetic_to_stroop,1547
arithmetic:s01:r1,rf,0,0.0770943223437169,0.9229056776562832,1,arithmetic_to_stroop,1547
arithmetic:s01:r2,rf,1,0.6223233044497185,0.3776766955502816,1,arithmetic_to_stroop,1547
arithmetic:s01:r3,rf,1,0.0042345223697744,0.9957654776302256,1,arithmetic_to_stroop,1547
arithmetic:s01:r0,extra_trees,0,0.9127575689494176,0.0872424310505822,1,arithmetic_to_stroop,1547
arithmetic:s01:r1,extra_trees,0,0.1350640573267585,0.8649359426732415,1,arithmetic_to_stroop,1547
arithmetic:s01:r2,extra_trees,1,0.5801983988213933,0.4198016011786066,1,arithmetic_to_stroop,1547
arithmetic:s01:r3,extra_trees,1,0.0116747303532624,0.9883252696467376,1,arithmetic_to_stroop,1547
arithmetic:s02:r0,always_nn,0,0.9795426047863004,0.0204573952136996,2,arithmetic_to_stroop,1335
arithmetic:s02:r1,always_nn,0,0.0041014376636381,0.995898562336362,2,arithmetic_to_stroop,1335
arithmetic:s02:r2,always_nn,1,0.9424340222214226,0.0575659777785774,2,arithmetic_to_stroop,1335
arithmetic:s02:r3,always_nn,1,0.0076449895536482,0.9923550104463515,2,arithmetic_to_stroop,1335
arithmetic:s02:r0,rf,0,0.704650903406687,0.2953490965933129,2,arithmetic_to_stroop,1335
arithmetic:s02:r1,rf,0,0.1191677506235641,0.8808322493764359,2,arithmetic_to_stroop,1335
arithmetic:s02:r2,rf,1,0.783063913090361,0.2169360869096389,2,arithmetic_to_stroop,1335
arithmetic:s02:r3,rf,1,0.1697458995531224,0.8302541004468775,2,arithmetic_to_stroop,1335
arithmetic:s02:r0,extra_trees,0,0.6993033629457065,0.3006966370542934,2,arithmetic_to_stroop,1335
arithmetic:s02:r1,extra_trees,0,0.1803744001487357,0.8196255998512643,2,arithmetic_to_stroop,1335
arithmetic:s02:r2,extra_trees,1,0.7101996339211692,0.2898003660788307,2,arithmetic_to_stroop,1335
arithmetic:s02:r3,extra_trees,1,0.1947617276130694,0.8052382723869306,2,arithmetic_to_stroop,1335
arithmetic:s02:r0,always_nn,0,0.8328371892034178,0.1671628107965821,2,arithmetic_to_stroop,1388
arithmetic:s02:r1,always_nn,0,0.0221930568956043,0.9778069431043958,2,arithmetic_to_stroop,1388
arithmetic:s02:r2,always_nn,1,0.0314214319568473,0.9685785680431528,2,arithmetic_to_stroop,1388
